TeamID,NumDecisions,NumCorrect,TotalWPDiff,AvgWPDiff,TotalWPLost,MaxWPLost,Accuracy,TeamName
28,32,27,-0.0036054632845408338,-0.00011267072764190106,-0.0036054632845408338,-0.0020593612600667503,0.84375,Austria
36,34,28,-0.014995701350980231,-0.00044105003973471266,-0.01499570135098023,-0.0037607321893114026,0.8235294117647058,Hungary
27,39,33,-0.05273040782988448,-0.0013520617392278071,-0.05273040782988448,-0.016784214885958992,0.8461538461538461,Great Britain
13,38,30,-0.07349573888931613,-0.0019340983918241085,-0.07349573888931613,-0.01409391484299824,0.7894736842105263,France
23,29,21,-0.07988699674373068,-0.002754724025645885,-0.07988699674373068,-0.03575476761971974,0.7241379310344828,England
15,99,83,-0.09587302224582374,-0.0009684143661194317,-0.09587302224582375,-0.016485369232689742,0.8383838383838383,Germany
25,96,83,-0.10355657517015758,-0.0010787143246891414,-0.10355657517015758,-0.02541577270361564,0.8645833333333334,Netherlands
44,99,87,-0.1048517151506927,-0.0010591082338453808,-0.1048517151506927,-0.031016394316694118,0.8787878787878788,Korea
12,23,14,-0.10928979617124863,-0.004751730268315158,-0.10928979617124863,-0.021335559726757727,0.6086956521739131,Finland
10,138,128,-0.11286301304750887,-0.0008178479206341222,-0.11286301304750887,-0.023061310450473382,0.927536231884058,Canada
51,96,79,-0.11816816683784925,-0.0012309184045609298,-0.11816816683784925,-0.025399343374005567,0.8229166666666666,Türkiye
20,125,111,-0.11928078324955603,-0.0009542462659964482,-0.11928078324955603,-0.0322448052171056,0.888,United States of America
34,99,80,-0.13612694836842396,-0.0013750196804891309,-0.13612694836842393,-0.02736274514670134,0.8080808080808081,Spain
14,113,99,-0.14409564577281384,-0.0012751827059541048,-0.14409564577281386,-0.024691947451959767,0.8761061946902655,Scotland
30,62,49,-0.14695640730893797,-0.0023702646340151286,-0.146956407308938,-0.024280377968826816,0.7903225806451613,New Zealand
24,126,108,-0.1938879339384777,-0.0015387931264958547,-0.1938879339384777,-0.032180185689492435,0.8571428571428571,Italy
11,99,84,-0.22793582054858666,-0.0023023820257433,-0.22793582054858666,-0.030028232083769812,0.8484848484848485,Denmark
16,95,79,-0.2442387002991587,-0.002570933687359565,-0.2442387002991587,-0.04143736642939033,0.8315789473684211,Japan
46,122,101,-0.25478141283358813,-0.0020883722363408863,-0.25478141283358813,-0.02659832235003229,0.8278688524590164,Australia
18,133,117,-0.2609927993889892,-0.001962351875105182,-0.2609927993889892,-0.07278305768107085,0.8796992481203008,Switzerland
43,90,74,-0.2909412237349158,-0.003232680263721287,-0.2909412237349158,-0.05164666024481068,0.8222222222222222,People's Republic of China
22,122,91,-0.3287699967923003,-0.00269483603928115,-0.3287699967923003,-0.03207784543453429,0.7459016393442623,Czech Republic
19,130,112,-0.39227874531546625,-0.0030175288101189713,-0.39227874531546625,-0.05013213489533752,0.8615384615384616,Sweden
37,112,87,-0.3927405641380841,-0.0035066121798043226,-0.3927405641380841,-0.029616113116096576,0.7767857142857143,Estonia
17,131,102,-0.541819957650455,-0.004136030211072175,-0.541819957650455,-0.040489673596482284,0.7786259541984732,Norway
