TeamID,EndID,ScoreDiff,Hammer,RefPPAvail,OppPPAvail,BTAbilityDiff,ActualDecision,OptimalDecision,ActualWP,OptimalWP,WPDiff,DecisionCorrect
27,1,0,1,1,1,-0.22399979421492056,0,0,0.5337272869999601,0.5337272869999601,0.0,1
19,2,-1,1,1,1,0.22399979421492056,0,0,0.4789295160289858,0.4789295160289858,0.0,1
27,3,-1,1,1,1,-0.22399979421492056,0,0,0.4103679799328088,0.4103679799328088,0.0,1
19,4,-2,1,1,1,0.22399979421492056,0,0,0.33066617340444915,0.33066617340444915,0.0,1
27,5,1,1,1,1,-0.22399979421492056,0,0,0.7064356099730325,0.7064356099730325,0.0,1
27,6,-1,1,1,1,-0.22399979421492056,1,0,0.41557793763511003,0.4505747493853907,-0.03499681175028069,0
19,7,0,1,1,0,0.22399979421492056,1,1,0.6865603421667948,0.6865603421667948,0.0,1
46,1,0,1,1,1,-0.35830485427120845,0,0,0.5086724622442627,0.5086724622442627,0.0,1
20,2,-1,1,1,1,0.35830485427120845,0,0,0.49617687927493553,0.49617687927493553,0.0,1
46,3,0,1,1,1,-0.35830485427120845,0,0,0.5100894438439046,0.5100894438439046,0.0,1
20,4,-1,1,1,1,0.35830485427120845,0,0,0.47877239134382393,0.47877239134382393,0.0,1
46,5,0,1,1,1,-0.35830485427120845,0,0,0.5428265808460507,0.5428265808460507,0.0,1
46,6,-1,1,1,1,-0.35830485427120845,1,0,0.39944380522439316,0.4354815667732352,-0.03603776154884203,0
20,7,-2,1,1,0,0.35830485427120845,1,1,0.27460603385607957,0.27460603385607957,0.0,1
22,1,0,1,1,1,-1.1688821530435876,0,0,0.32154259878602476,0.32154259878602476,0.0,1
22,2,-1,1,1,1,-1.1688821530435876,0,0,0.2407790779970396,0.2407790779970396,0.0,1
22,3,-2,1,1,1,-1.1688821530435876,0,0,0.15412365208180134,0.15412365208180134,0.0,1
17,4,0,1,1,1,1.1688821530435876,0,0,0.7358186840088186,0.7358186840088186,0.0,1
22,5,-1,1,1,1,-1.1688821530435876,0,0,0.26896807400324213,0.26896807400324213,0.0,1
17,6,0,1,1,1,1.1688821530435876,1,0,0.6980838813458926,0.7222858886673089,-0.024202007321416308,0
22,7,-2,1,1,0,-1.1688821530435876,1,1,0.18996530247645535,0.18996530247645535,0.0,1
43,1,0,1,1,1,-1.0982416043783472,0,0,0.3327242265160098,0.3327242265160098,0.0,1
18,2,-1,1,1,1,1.0982416043783472,0,0,0.6384464726323887,0.6384464726323887,0.0,1
18,3,-2,1,1,1,1.0982416043783472,0,0,0.48155101661215244,0.48155101661215244,0.0,1
18,4,-3,1,1,1,1.0982416043783472,0,1,0.33242892949658015,0.3348101803055516,-0.002381250808971447,0
43,5,1,1,1,1,-1.0982416043783472,0,0,0.5641059187337253,0.5641059187337253,0.0,1
18,6,-2,1,1,1,1.0982416043783472,1,0,0.36664672281970184,0.39173512298280405,-0.02508840016310221,0
43,7,-1,1,1,0,-1.0982416043783472,1,1,0.36548786741655326,0.36548786741655326,0.0,1
43,1,0,1,1,1,-0.9709030956987861,0,0,0.37108169003732755,0.37108169003732755,0.0,1
46,2,-1,1,1,1,0.9709030956987861,0,0,0.6309683849618668,0.6309683849618668,0.0,1
43,3,0,1,1,1,-0.9709030956987861,0,0,0.39854230921820577,0.39854230921820577,0.0,1
46,4,-2,1,1,1,0.9709030956987861,0,0,0.4829500375237072,0.4829500375237072,0.0,1
43,5,2,1,1,1,-0.9709030956987861,0,0,0.7612287529728473,0.7612287529728473,0.0,1
46,6,-3,1,1,1,0.9709030956987861,1,0,0.23217262655789977,0.2336623061039259,-0.0014896795460261347,0
43,7,0,1,1,0,-0.9709030956987861,1,1,0.6411199283448389,0.6411199283448389,0.0,1
19,1,0,1,1,1,0.9548733490573076,0,0,0.732912078631941,0.732912078631941,0.0,1
22,2,-1,1,1,1,-0.9548733490573076,0,0,0.28419623262163296,0.28419623262163296,0.0,1
19,3,0,1,1,1,0.9548733490573076,0,0,0.7131109402952939,0.7131109402952939,0.0,1
19,4,-1,1,1,1,0.9548733490573076,0,0,0.6122021867440086,0.6122021867440086,0.0,1
22,5,0,1,1,1,-0.9548733490573076,0,0,0.45658601695501433,0.45658601695501433,0.0,1
22,6,-1,1,1,1,-0.9548733490573076,1,0,0.33244360075545304,0.3531363647931267,-0.020692764037673672,0
19,7,-1,1,1,0,0.9548733490573076,1,1,0.5824012929086612,0.5824012929086612,0.0,1
20,1,0,1,1,1,-0.8343352947857836,0,0,0.38951092725677255,0.38951092725677255,0.0,1
24,2,-1,1,1,1,0.8343352947857836,0,0,0.5974934405377129,0.5974934405377129,0.0,1
20,3,-3,1,1,1,-0.8343352947857836,0,0,0.12443087030118577,0.12443087030118577,0.0,1
20,4,-4,1,1,1,-0.8343352947857836,0,0,0.06343784860441336,0.06343784860441336,0.0,1
24,5,3,1,1,1,0.8343352947857836,0,0,0.9379366001950484,0.9379366001950484,0.0,1
24,6,2,1,1,1,0.8343352947857836,1,0,0.8865288228731941,0.9015932141518619,-0.015064391278667766,0
20,8,-2,1,1,0,-0.8343352947857836,1,1,0.13027577076235014,0.13027577076235014,0.0,1
10,1,0,1,1,1,0.4327183576122572,0,0,0.603952394581995,0.603952394581995,0.0,1
27,2,-1,1,1,1,-0.4327183576122572,0,0,0.4014366808369946,0.4014366808369946,0.0,1
10,3,0,1,1,1,0.4327183576122572,0,0,0.5894185937599666,0.5894185937599666,0.0,1
10,4,-1,1,1,1,0.4327183576122572,0,0,0.4785637935001815,0.4785637935001815,0.0,1
27,5,0,1,1,1,-0.4327183576122572,0,0,0.5377393279325164,0.5377393279325164,0.0,1
10,6,-1,1,1,1,0.4327183576122572,1,0,0.45032254025959934,0.4859853673350094,-0.035662827075410075,0
27,7,-1,1,1,0,-0.4327183576122572,1,1,0.4298028935908831,0.4298028935908831,0.0,1
18,1,0,1,1,1,-1.065301640377431,0,0,0.3364256714808515,0.3364256714808515,0.0,1
24,2,-1,1,1,1,1.065301640377431,0,0,0.6385228518517407,0.6385228518517407,0.0,1
18,3,-2,1,1,1,-1.065301640377431,0,0,0.16183660103234077,0.16183660103234077,0.0,1
24,4,0,1,1,1,1.065301640377431,0,0,0.7289214897691932,0.7289214897691932,0.0,1
18,5,-1,1,1,1,-1.065301640377431,0,1,0.2844307174894439,0.2844311073330303,-3.8984358641247496e-07,0
18,6,-2,1,1,1,-1.065301640377431,1,0,0.15588091014477054,0.17714573432830155,-0.02126482418353101,0
24,7,-1,1,1,0,1.065301640377431,1,1,0.6005357629086299,0.6005357629086299,0.0,1
20,1,0,1,1,1,-0.3554989212126862,0,0,0.5125474267988942,0.5125474267988942,0.0,1
17,2,-1,1,1,1,0.3554989212126862,0,0,0.4963648118394993,0.4963648118394993,0.0,1
20,3,0,1,1,1,-0.3554989212126862,0,0,0.51237756741759,0.51237756741759,0.0,1
17,4,-2,1,1,1,0.3554989212126862,0,0,0.34432941898771924,0.34432941898771924,0.0,1
20,5,0,1,1,1,-0.3554989212126862,0,0,0.5460836244327747,0.5460836244327747,0.0,1
17,6,-3,1,1,1,0.3554989212126862,1,0,0.14506573476181314,0.16131795217769684,-0.016252217415883702,0
20,7,0,1,1,0,-0.3554989212126862,1,1,0.6649148072566258,0.6649148072566258,0.0,1
17,1,0,1,1,1,0.005290240588943229,0,0,0.5785661117018177,0.5785661117018177,0.0,1
10,2,-2,1,1,1,-0.005290240588943229,0,0,0.3502418038635538,0.3502418038635538,0.0,1
17,3,-2,1,1,1,0.005290240588943229,0,0,0.31673683500547356,0.31673683500547356,0.0,1
10,4,1,1,1,1,-0.005290240588943229,0,0,0.7085306322960955,0.7085306322960955,0.0,1
17,5,-2,1,1,1,0.005290240588943229,0,0,0.3048073197262969,0.3048073197262969,0.0,1
10,6,0,1,1,1,-0.005290240588943229,0,0,0.6067705844672352,0.6067705844672352,0.0,1
17,7,-1,1,1,1,0.005290240588943229,1,1,0.34655311222006047,0.34655311222006047,0.0,1
10,8,0,1,1,0,-0.005290240588943229,1,1,0.7741730673741003,0.7741730673741003,0.0,1
27,1,0,1,1,1,0.14845666860313306,0,0,0.5796155952897182,0.5796155952897182,0.0,1
18,2,-1,1,1,1,-0.14845666860313306,0,0,0.43095186288281456,0.43095186288281456,0.0,1
