TeamID,EndID,ScoreDiff,Hammer,RefPPAvail,OppPPAvail,EloDiff,ActualDecision,OptimalDecision,ActualWP,OptimalWP,WPDiff,DecisionCorrect
19,2,-1,1,1,1,124.57298092204314,0,0,0.6196265323205405,0.6196265323205405,0.0,1
19,4,-2,1,1,1,124.57298092204314,0,0,0.4655838281284726,0.4655838281284726,0.0,1
19,7,0,1,1,0,124.57298092204314,1,1,0.7339787202173558,0.7339787202173558,0.0,1
20,2,-1,1,1,1,4.1299199550935555,0,0,0.46342324552212166,0.46342324552212166,0.0,1
20,4,-1,1,1,1,4.1299199550935555,0,0,0.4880571928529195,0.4880571928529195,0.0,1
20,7,-2,1,1,0,4.1299199550935555,1,0,0.24193463162265205,0.2696735212851953,-0.02773888966254323,0
17,4,0,1,1,1,195.28033935483222,0,0,0.7207455924074844,0.7207455924074844,0.0,1
17,6,0,1,1,1,195.28033935483222,1,0,0.7544697749350258,0.7933723446247357,-0.038902569689709954,0
18,2,-1,1,1,1,199.1707486625137,0,0,0.6942992617328133,0.6942992617328133,0.0,1
18,3,-2,1,1,1,199.1707486625137,0,0,0.5936623569266366,0.5936623569266366,0.0,1
18,4,-3,1,1,1,199.1707486625137,0,0,0.4518162926286291,0.4518162926286291,0.0,1
18,6,-2,1,1,1,199.1707486625137,1,0,0.5040584710239665,0.5491422151069982,-0.04508374408303173,0
43,1,0,1,1,1,-222.82296480098103,0,0,0.5360838131438732,0.5360838131438732,0.0,1
43,3,0,1,1,1,-222.82296480098103,0,0,0.5360082877717784,0.5360082877717784,0.0,1
43,5,2,1,1,1,-222.82296480098103,0,0,0.8383134168658111,0.8383134168658111,0.0,1
43,7,0,1,1,0,-222.82296480098103,1,0,0.6386811150574696,0.7124838773808324,-0.0738027623233628,0
19,1,0,1,1,1,180.07919272292906,0,0,0.937148884604092,0.937148884604092,0.0,1
19,3,0,1,1,1,180.07919272292906,0,0,0.89613853975912,0.89613853975912,0.0,1
19,4,-1,1,1,1,180.07919272292906,0,0,0.8246552285929611,0.8246552285929611,0.0,1
19,7,-1,1,1,0,180.07919272292906,1,0,0.6694779928629322,0.690197643641941,-0.020719650779008836,0
20,1,0,1,1,1,-127.90023197402343,0,0,0.21949878011006416,0.21949878011006416,0.0,1
20,3,-3,1,1,1,-127.90023197402343,0,0,0.05670019888606541,0.05670019888606541,0.0,1
20,4,-4,1,1,1,-127.90023197402343,0,0,0.02956014718860093,0.02956014718860093,0.0,1
20,8,-2,1,1,0,-127.90023197402343,1,0,0.03994865994900465,0.1336362063884735,-0.09368754643946886,0
